uss-gerald-r-ford-cvn-78 | MISSING MODEL
2026-03-14 12:15:35 | R2 Upload Failed: D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\leopard-2a5.glb -> Failed to upload D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\leopard-2a5.glb to war-assets-3d/models/leopard-2a5.glb: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:36 | R2 Upload Failed: ./backend-cdn/public/images/leopard-2a7\1.jpg -> Failed to upload ./backend-cdn/public/images/leopard-2a7\1.jpg to war-assets-3d/images/leopard-2a7/1.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:37 | R2 Upload Failed: ./backend-cdn/public/images/leopard-2a7\2.jpg -> Failed to upload ./backend-cdn/public/images/leopard-2a7\2.jpg to war-assets-3d/images/leopard-2a7/2.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:38 | R2 Upload Failed: ./backend-cdn/public/images/leopard-2a7\3.jpg -> Failed to upload ./backend-cdn/public/images/leopard-2a7\3.jpg to war-assets-3d/images/leopard-2a7/3.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:39 | R2 Upload Failed: ./backend-cdn/public/images/challenger-1\1.jpg -> Failed to upload ./backend-cdn/public/images/challenger-1\1.jpg to war-assets-3d/images/challenger-1/1.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:39 | R2 Upload Failed: ./backend-cdn/public/images/challenger-1\2.jpg -> Failed to upload ./backend-cdn/public/images/challenger-1\2.jpg to war-assets-3d/images/challenger-1/2.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:40 | R2 Upload Failed: ./backend-cdn/public/images/challenger-1\3.jpg -> Failed to upload ./backend-cdn/public/images/challenger-1\3.jpg to war-assets-3d/images/challenger-1/3.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:40 | R2 Upload Failed: ./backend-cdn/public/images/challenger-3\1.jpg -> Failed to upload ./backend-cdn/public/images/challenger-3\1.jpg to war-assets-3d/images/challenger-3/1.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:41 | R2 Upload Failed: ./backend-cdn/public/images/challenger-2\1.jpg -> Failed to upload ./backend-cdn/public/images/challenger-2\1.jpg to war-assets-3d/images/challenger-2/1.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:41 | R2 Upload Failed: ./backend-cdn/public/images/challenger-3\2.jpg -> Failed to upload ./backend-cdn/public/images/challenger-3\2.jpg to war-assets-3d/images/challenger-3/2.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:41 | R2 Upload Failed: ./backend-cdn/public/images/challenger-2\2.jpg -> Failed to upload ./backend-cdn/public/images/challenger-2\2.jpg to war-assets-3d/images/challenger-2/2.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:42 | R2 Upload Failed: ./backend-cdn/public/images/challenger-3\3.jpg -> Failed to upload ./backend-cdn/public/images/challenger-3\3.jpg to war-assets-3d/images/challenger-3/3.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:42 | R2 Upload Failed: ./backend-cdn/public/images/challenger-2\3.jpg -> Failed to upload ./backend-cdn/public/images/challenger-2\3.jpg to war-assets-3d/images/challenger-2/3.jpg: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:46 | R2 Upload Failed: D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\challenger-1.glb -> Failed to upload D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\challenger-1.glb to war-assets-3d/models/challenger-1.glb: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
2026-03-14 12:15:48 | R2 Upload Failed: D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\challenger-3.glb -> Failed to upload D:\Software\Expo\War-Assets-3D-main\backend-cdn\public\models\challenger-3.glb to war-assets-3d/models/challenger-3.glb: An error occurred (RequestTimeTooSkewed) when calling the PutObject operation: The difference between the request time and the server's time is too large.
